stock_code,description,revenue,quantity,orders,customers
21843,RED RETROSPOT CAKE STAND,44290.39,4143,1294,511
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,43894.89,15325,1415,439
20727,LUNCH BAG  BLACK SKULL.,43876.32,25467,2396,706
84029E,RED WOOLLY HOTTIE WHITE HEART.,42666.54,10542,1156,502
82494L,WOODEN FRAME ANTIQUE WHITE ,42485.310000000005,14790,2010,631
22197,SMALL POPCORN HOLDER,42423.71,48234,1461,428
23298,SPOTTY BUNTING,42030.670000000006,8381,1153,571
48138,DOORMAT UNION FLAG,41994.54,6269,1002,468
22138,BAKING SET 9 PIECE RETROSPOT ,41829.060000000005,8507,2123,1152
21915,RED  HARMONICA IN BOX ,41673.54,35405,1040,467
22355,CHARLOTTE BAG SUKI DESIGN,41445.93,27381,1432,345
82482,WOODEN PICTURE FRAME WHITE FINISH,40769.45,16454,2036,601
20728,LUNCH BAG CARS BLUE,40592.3,23456,2110,702
20713,JUMBO BAG OWLS,40218.07,20562,1326,371
20725,LUNCH BAG RED RETROSPOT,40152.62,21636,1888,605
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,1
21175,GIN + TONIC DIET METAL SIGN,38828.4,18143,1621,544
84078A,SET/4 WHITE RETRO STORAGE CUBES ,38657.310000000005,981,348,152
48194,DOORMAT HEARTS,38278.42,6007,1041,448
22629,SPACEBOY LUNCH BOX ,37829.65,20736,1382,456
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,37378.79,7329,1458,640
22960,JAM MAKING SET WITH JARS,37367.32,8783,1247,583
85066,CREAM SWEETHEART MINI CHEST,37364.58,2989,987,475
21166,COOK WITH WINE METAL SIGN ,37171.63,19374,1442,476
20712,JUMBO BAG WOODLAND ANIMALS,37051.76,17459,1433,388
20726,LUNCH BAG WOODLAND,37008.79,21105,1966,586
23284,DOORMAT KEEP CALM AND COME IN,36532.39,5262,735,378
22699,ROSES REGENCY TEACUP AND SAUCER ,36387.55,12370,1473,524
22727,ALARM CLOCK BAKELIKE RED ,36228.77,9150,1395,474
20685,DOORMAT RED RETROSPOT,34656.74,4961,909,416
21755,LOVE BUILDING BLOCK WORD,34550.42,5595,1709,661
22379,RECYCLING BAG RETROSPOT ,34511.89,15698,1578,423
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,34133.13,11557,817,299
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,34110.06,12177,1179,400
22197,POPCORN HOLDER,33959.26,36322,839,296
21523,DOORMAT FANCY FONT HOME SWEET HOME,33426.21,5072,718,271
48187,DOORMAT NEW ENGLAND,33149.06,5284,822,389
22666,RECIPE BOX PANTRY YELLOW DESIGN,33027.07,10491,1727,701
22630,DOLLY GIRL LUNCH BOX,32849.83,17820,1354,424
22382,LUNCH BAG SPACEBOY DESIGN ,32662.12,19352,2129,776
22726,ALARM CLOCK BAKELIKE GREEN,32365.57,7606,1296,405
15036,ASSORTED COLOURS SILK FAN,32323.0,43463,1006,303
22385,JUMBO BAG SPACEBOY DESIGN,31708.06,16644,1262,412
22077,6 RIBBONS RUSTIC CHARM,31320.059999999998,17121,1766,686
22139,RETROSPOT TEA SET CERAMIC 11 PC ,31292.22,6118,1343,653
85152,HAND OVER THE CHOCOLATE   SIGN ,31292.190000000002,16272,1468,486
22865,HAND WARMER OWL DESIGN,31151.690000000002,14411,1226,566
82486,WOOD S/3 CABINET ANT WHITE FINISH,31075.39,3930,1111,320
23245,SET OF 3 REGENCY CAKE TINS,30697.050000000003,6255,910,472
21479,WHITE SKULL HOT WATER BOTTLE ,30402.62,6024,938,411
20679,EDWARDIAN PARASOL RED,29913.870000000003,6131,724,273
84946,ANTIQUE SILVER TEA GLASS ETCHED,29674.96,21898,1103,413
20725,LUNCH BAG RED SPOTTY,29569.92,17750,1247,499
48185,DOORMAT FAIRY CAKE,29541.33,4407,603,219
22697,GREEN REGENCY TEACUP AND SAUCER,29445.75,9441,1401,478
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29314.17,6770,1018,387
22501,PICNIC BASKET WICKER LARGE,29180.91,2509,802,346
23199,JUMBO BAG APPLES,29141.44,14185,999,344
47590B,PINK HAPPY BIRTHDAY BUNTING,29070.81,5681,882,429
22659,LUNCH BOX I LOVE LONDON,28988.86,15605,1095,293
22158,3 HEARTS HANGING DECORATION RUSTIC,28958.38,8903,733,375
21928,JUMBO BAG SCANDINAVIAN PAISLEY,28905.83,15827,896,333
22622,BOX OF VINTAGE ALPHABET BLOCKS,28890.76,2884,577,346
20914,SET/5 RED SPOTTY LID GLASS BOWLS,28726.72,10424,927,360
23355,HOT WATER BOTTLE KEEP CALM,28301.2,5720,790,474
22188,BLACK HEART CARD HOLDER,28092.28,10348,569,292
84978,HANGING HEART JAR T-LIGHT HOLDER,28058.24,21328,1476,525
22866,HAND WARMER SCOTTY DOG DESIGN,28007.370000000003,12643,1090,530
21977,PACK OF 60 PINK PAISLEY CAKE CASES,27964.43,55842,2004,768
82583,HOT BATHS METAL SIGN,27777.9,12770,1189,323
21212,PACK OF 72 RETROSPOT CAKE CASES,27531.08,47695,1725,774
20719,WOODLAND CHARLOTTE BAG,27491.6,24347,1593,365
22467,GUMBALL COAT RACK,27393.93,11574,1160,398
21930,JUMBO STORAGE BAG SKULLS,27356.59,13384,1327,386
82483,WOOD 2 DRAWER CABINET WHITE FINISH,27319.52,4595,1205,363
72741,GRAND CHOCOLATECANDLE,27150.16,19650,936,510
22624,IVORY KITCHEN SCALES,27068.530000000002,3158,1241,579
22492,MINI PAINT SET VINTAGE ,26873.54,42005,728,356
84991,60 TEATIME FAIRY CAKE CASES,26853.260000000002,53678,2141,822
23201,JUMBO BAG ALPHABET,26774.81,12772,920,396
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,26677.05,9742,760,444
22961,JAM MAKING SET PRINTED,26443.829999999998,16908,1213,558
22752,SET 7 BABUSHKA NESTING BOXES,26378.25,3235,717,324
22386,JUMBO BAG PINK WITH WHITE SPOTS,26201.71,14181,810,358
22867,HAND WARMER BIRD DESIGN,25945.430000000004,11790,1061,521
20971,PINK BLUE FELT CRAFT TRINKET BOX,25841.65,19689,1160,490
20711,JUMBO BAG TOYS ,25648.82,12612,1067,326
22507,MEMO BOARD RETROSPOT  DESIGN,25485.36,5431,913,445
22551,PLASTERS IN TIN SPACEBOY,25477.719999999998,15154,1317,616
22835,HOT WATER BOTTLE I AM SO POORLY,25338.04,4894,1022,451
21485,RETROSPOT HEART HOT WATER BOTTLE,25299.11,5146,939,502
22090,PAPER BUNTING RETROSPOT,25280.91,8351,930,376
85099B,JUMBO BAG RED WHITE SPOTTY ,25032.82,14055,541,322
22149,FELTCRAFT 6 FLOWER FRIENDS,24974.57,12010,1404,685
22087,PAPER BUNTING WHITE LACE,24923.7,8316,858,314
37503,TEA TIME CAKE STAND IN GIFT BOX,24912.88,2414,533,257
22084,PAPER CHAIN KIT EMPIRE,24864.11,8692,815,464
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,24789.780000000002,39710,1287,524
20724,RED RETROSPOT CHARLOTTE BAG,24786.04,20445,1277,391
48138,DOOR MAT UNION FLAG,24656.36,3759,677,389
23173,REGENCY TEAPOT ROSES ,24442.73,2714,429,248
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24318.260000000002,5936,848,394
71459,HANGING JAM JAR T-LIGHT HOLDER,24186.01,29852,959,422
84836,ZINC METAL HEART DECORATION,24161.83,19745,1417,663
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,24083.929999999997,104546,1032,482
22728,ALARM CLOCK BAKELIKE PINK,24058.56,6162,986,357
22090,PAPER BUNTING RETRO SPOTS,23860.84,7874,786,367
22383,LUNCH BAG SUKI  DESIGN ,23824.89,14303,1293,463
21212,PACK OF 72 RETRO SPOT CAKE CASES,23744.41,46079,1419,634
21231,SWEETHEART CERAMIC TRINKET BOX,23739.93,19105,1553,500
21481,FAWN BLUE HOT WATER BOTTLE,23547.55,7373,1065,441
23203,JUMBO BAG VINTAGE DOILY ,23458.44,10880,724,365
22698,PINK REGENCY TEACUP AND SAUCER,23443.870000000003,7853,1072,401
21790,VINTAGE SNAP CARDS,23343.5,27041,1900,793
47590A,BLUE HAPPY BIRTHDAY BUNTING,23286.210000000003,4564,698,355
23344,JUMBO BAG 50'S CHRISTMAS ,23285.11,10023,723,391
22605,WOODEN CROQUET GARDEN SET,23256.52,1814,656,377
20972,PINK CREAM FELT CRAFT TRINKET BOX ,23231.920000000002,18999,1407,568
82600,NO SINGING METAL SIGN,23012.97,11407,1159,375
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,22943.87,4683,505,275
22607,WOODEN ROUNDERS GARDEN SET ,22772.99,2517,752,419
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,22713.04,7848,1188,445
22625,RED KITCHEN SCALES,22612.350000000002,2610,979,441
22554,PLASTERS IN TIN WOODLAND ANIMALS,22610.569999999996,13429,1284,588
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,22497.36,2987,693,270
84406B,CREAM CUPID HEARTS COAT HANGER,22417.03,6913,853,320
21314,SMALL GLASS HEART TRINKET POT,22344.59,10198,1132,369
22556,PLASTERS IN TIN CIRCUS PARADE ,22157.53,13478,1215,591
20749,ASSORTED COLOUR MINI CASES,21995.86,3049,776,426
22113,GREY HEART HOT WATER BOTTLE,21904.13,5727,1002,489
22499,WOODEN UNION JACK BUNTING,21784.870000000003,3589,778,452
21791,VINTAGE HEADS AND TAILS CARD GAME ,21702.35,16532,1326,642
84970S,HANGING HEART ZINC T-LIGHT HOLDER,21689.059999999998,26319,1439,617
22585,PACK OF 6 BIRDY GIFT TAGS,21534.39,17164,1097,612
23202,JUMBO BAG VINTAGE LEAF,21367.97,10699,885,377
21524,DOORMAT SPOTTY HOME SWEET HOME,21357.65,2811,749,356
21213,PACK OF 72 SKULL CAKE CASES,21341.81,40174,1484,528
22969,HOMEMADE JAM SCENTED CANDLES,21316.19,14321,717,472
47566B,TEA TIME PARTY BUNTING,21312.99,4166,772,351
48184,DOORMAT ENGLISH ROSE ,21262.7,3235,534,268
22941,CHRISTMAS LIGHTS 10 REINDEER,21117.28,2541,509,316
22456,NATURAL SLATE CHALKBOARD LARGE ,21081.7,4312,887,386
22502,PICNIC BASKET WICKER SMALL,20824.38,3686,943,335
23206,LUNCH BAG APPLE DESIGN,20755.43,12088,1049,401
21218,RED SPOTTY BISCUIT TIN,20523.06,5177,924,313
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,20505.780000000002,2592,567,316
22294,HEART FILIGREE DOVE  SMALL,20495.63,16564,868,414
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,20379.08,17803,352,197
22424,ENAMEL BREAD BIN CREAM,20316.44,1484,767,311
20723,STRAWBERRY CHARLOTTE BAG,20243.27,18109,1402,356
85150,LADIES & GENTLEMEN METAL SIGN,20172.77,8335,1122,369
48188,DOORMAT WELCOME PUPPIES,20137.55,3405,433,220
37449,CERAMIC CAKE STAND + HANGING CAKES,20099.15,2127,548,211
21258,VICTORIAN SEWING BOX LARGE,20026.41,1388,570,188
22083,PAPER CHAIN KIT RETRO SPOT,19954.79,7119,597,324
21622,VINTAGE UNION JACK CUSHION COVER,19724.09,3656,643,330
21174,POTTERING IN THE SHED METAL SIGN,19586.01,9692,1138,402
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,19521.440000000002,4028,800,470
22568,FELTCRAFT CUSHION OWL,19519.81,5267,884,389
22570,FELTCRAFT CUSHION RABBIT,19436.77,5200,813,351
22617,BAKING SET SPACEBOY DESIGN,19399.440000000002,4009,1010,601
22413,METAL SIGN TAKE IT OR LEAVE IT ,19387.690000000002,6847,887,446
22558,CLOTHES PEGS RETROSPOT PACK 24 ,19382.46,13718,1217,541
22384,LUNCH BAG PINK POLKADOT,19256.21,11594,1303,509
21936,RED RETROSPOT PICNIC BAG,19226.27,6551,956,359
22083,PAPER CHAIN KIT RETROSPOT,19060.43,6069,817,379
21908,CHOCOLATE THIS WAY METAL SIGN,19058.780000000002,9646,978,382
84946,ANTIQUE SILVER T-LIGHT GLASS,19032.41,14348,712,349
22427,ENAMEL FLOWER JUG CREAM,18981.780000000002,3167,824,460
22569,FELTCRAFT CUSHION BUTTERFLY,18933.8,5176,789,361
22561,WOODEN SCHOOL COLOURING SET,18912.57,11233,916,556
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18792.9,9803,617,326
22169,FAMILY ALBUM WHITE PICTURE FRAME,18766.4,2182,736,276
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,18699.63,15773,692,313
22041,"RECORD FRAME 7"" SINGLE SIZE ",18546.920000000002,7498,560,101
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,18524.03,1696,433,250
22383,LUNCH BAG SUKI DESIGN ,18482.03,10158,1103,400
71053,WHITE METAL LANTERN,18276.7,4632,720,290
22555,PLASTERS IN TIN STRONGMAN,18257.32,11281,964,514
84949,SILVER HANGING T-LIGHT HOLDER,18222.0,11433,759,330
22061,LARGE CAKE STAND  HANGING STRAWBERY,18061.02,2057,583,223
21484,CHICK GREY HOT WATER BOTTLE,18013.190000000002,4534,868,367
22505,MEMO BOARD COTTAGE DESIGN,17940.58,3754,756,397
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,17822.19,4559,836,323
22560,TRADITIONAL MODELLING CLAY,17670.510000000002,14661,746,420
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,17604.98,21449,685,344
21914,BLUE HARMONICA IN BOX ,17575.36,12837,968,446
22633,HAND WARMER UNION JACK,17494.77,8502,867,473
84467,ENGLISH ROSE DESIGN QUILTED THROW,17397.76,814,84,40
22297,HEART IVORY TRELLIS SMALL,17358.87,13440,975,391
22557,PLASTERS IN TIN VINTAGE PAISLEY ,17289.1,10301,1135,580
23203,JUMBO BAG DOILEY PATTERNS,17222.93,8871,518,299
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,17142.84,17364,1083,463
21136,PAINTED METAL PEARS ASSORTED,17122.079999999998,10271,743,449
84992,72 SWEETHEART FAIRY CAKE CASES,17084.52,34387,1467,614
21889,WOODEN BOX OF DOMINOES,16901.91,12651,1137,597
22847,BREAD BIN DINER STYLE IVORY,16875.44,1063,508,259
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,16815.39,6752,1056,354
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,16760.11,8146,670,232
22147,FELTCRAFT BUTTERFLY HEARTS,16750.78,11924,1145,582
22652,TRAVEL SEWING KIT,16701.65,9856,841,440
22654,DELUXE SEWING KIT ,16664.87,2482,622,300
22273,FELTCRAFT DOLL MOLLY,16588.190000000002,5891,818,423
21164,HOME SWEET HOME METAL SIGN ,16561.510000000002,5959,726,356
22952,60 CAKE CASES VINTAGE CHRISTMAS,16529.11,27418,1044,520
22993,SET OF 4 PANTRY JELLY MOULDS,16393.48,12581,1082,431
21527,RED RETROSPOT TRADITIONAL TEAPOT ,16242.66,2235,639,284
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16238.68,1679,499,302
23301,GARDENERS KNEELING PAD KEEP CALM ,16158.449999999999,8693,924,405
22662,LUNCH BAG DOLLY GIRL DESIGN,16101.41,9883,1004,427
22296,HEART IVORY TRELLIS LARGE,16014.359999999999,9711,836,428
48173C,DOORMAT BLACK FLOCK ,15991.76,2839,323,167
20685,DOOR MAT RED SPOT,15853.44,2482,416,245
22759,SET OF 3 NOTEBOOKS IN PARCEL,15823.659999999998,9354,798,472
22690,DOORMAT HOME SWEET HOME BLUE ,15788.050000000001,2532,443,278
22487,WHITE WOOD GARDEN PLANT LADDER,15738.099999999999,1562,935,611
23313,VINTAGE CHRISTMAS BUNTING,15734.31,2977,403,254
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,15684.53,4333,452,239
22837,HOT WATER BOTTLE BABUSHKA ,15679.53,3361,438,210
84375,SET OF 20 KIDS COOKIE CUTTERS,15632.28,7515,802,389
22632,HAND WARMER RED RETROSPOT,15592.630000000001,7663,745,423
22619,SET OF 6 SOLDIER SKITTLES,15522.59,4065,712,419
35004C,SET OF 3 COLOURED  FLYING DUCKS,15447.58,2947,386,113
21891,TRADITIONAL WOODEN SKIPPING ROPE,15429.68,12054,851,483
48111,DOORMAT 3 SMILEY CATS,15421.83,2418,438,173
21843,RETRO SPOT CAKE STAND,15357.659999999998,1400,388,213
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,15350.6,3758,686,383
85014B,RED RETROSPOT UMBRELLA,15346.550000000001,2694,488,274
22193,RED DINER WALL CLOCK,15339.380000000001,1811,634,267
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,15324.93,3443,424,250
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,15313.1,4202,496,268
22692,DOORMAT WELCOME TO OUR HOME,15300.9,2000,615,293
84378,SET OF 3 HEART COOKIE CUTTERS,15272.38,11544,1257,601
21975,PACK OF 60 DINOSAUR CAKE CASES,15187.36,31237,1307,543
22940,FELTCRAFT CHRISTMAS FAIRY,15162.06,3452,593,392
21165,BEWARE OF THE CAT METAL SIGN ,15084.789999999999,9309,972,321
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,15063.37,2295,602,280
22634,CHILDS BREAKFAST SET SPACEBOY ,15040.25,1594,552,323
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,15012.18,4880,1007,383
20750,RED RETROSPOT MINI CASES,14996.119999999999,2049,515,307
35970,ZINC FOLKART SLEIGH BELLS,14949.720000000001,8301,699,416
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,14941.599999999999,16674,1098,578
21217,RED RETROSPOT ROUND CAKE TINS,14924.199999999999,1400,479,224
82582,AREA PATROLLED METAL SIGN,14869.600000000002,7350,804,258
21094,SET/6 RED SPOTTY PAPER PLATES,14838.789999999999,18871,989,330
21877,HOME SWEET HOME MUG,14777.93,12968,778,323
22635,CHILDS BREAKFAST SET DOLLY GIRL ,14681.56,1536,510,325
22946,WOODEN ADVENT CALENDAR CREAM,14670.27,950,289,154
22730,ALARM CLOCK BAKELIKE IVORY,14649.77,3644,760,289
21770,OPEN CLOSED METAL SIGN,14594.900000000001,2943,655,423
17003,BROCADE RING PURSE ,14550.64,69639,463,215
22485,SET OF 2 WOODEN MARKET CRATES,14512.09,1088,427,280
84997D,CHILDRENS CUTLERY POLKADOT PINK,14478.640000000001,3662,359,209
22606,WOODEN SKITTLES GARDEN SET,14451.24,1035,391,270
84050,PINK HEART SHAPE EGG FRYING PAN,14417.699999999999,9787,728,308
21912,VINTAGE SNAKES & LADDERS,14366.33,3660,833,447
21217,RED SPOTTY ROUND CAKE TINS,14360.539999999999,1454,478,278
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,14329.83,11058,823,278
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,14270.22,5648,900,316
20748,KENSINGTON COFFEE SET,14266.980000000001,1600,183,86
21169,YOU'RE CONFUSING ME METAL SIGN ,14208.039999999999,8823,781,278
22384,LUNCH BAG PINK RETROSPOT,14201.32,8788,826,375
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,14164.89,3890,483,271
23200,JUMBO BAG PEARS,13945.33,6933,601,262
22627,MINT KITCHEN SCALES,13891.09,1593,674,322
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,13824.95,10186,1123,490
21668,RED STRIPE CERAMIC DRAWER KNOB,13805.75,10270,837,256
22295,HEART FILIGREE DOVE LARGE,13794.339999999998,8363,710,382
21257,VICTORIAN SEWING BOX MEDIUM,13763.18,1522,547,206
22444,GROW YOUR OWN PLANT IN A CAN ,13714.1,10021,465,249
21669,BLUE STRIPE CERAMIC DRAWER KNOB,13691.86,10472,818,262
21259,VICTORIAN SEWING BOX SMALL ,13688.27,2266,672,301
22621,TRADITIONAL KNITTING NANCY,13670.269999999999,8641,882,507
22366,DOORMAT AIRMAIL ,13665.62,2060,437,200
23077,DOUGHNUT LIP GLOSS ,13620.77,10335,347,217
48116,DOORMAT MULTICOLOUR STRIPE,13610.2,2348,260,112
21888,BINGO SET,13498.42,3428,838,445
22109,FULL ENGLISH BREAKFAST PLATE,13478.85,3261,661,205
23343,JUMBO BAG VINTAGE CHRISTMAS ,13467.03,5807,483,286
21390,FILIGRIS HEART WITH BUTTERFLY,13459.22,10862,592,280
47556B,TEA TIME TEA TOWELS ,13288.42,5045,452,209
23356,LOVE HOT WATER BOTTLE,13280.77,2350,478,316
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13239.85,2833,410,195
35400,WOODEN BOX ADVENT CALENDAR ,13219.65,1344,464,249
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,13212.84,15368,1184,493
15044A,PINK PAPER PARASOL ,13202.800000000001,4961,252,117
48187,DOOR MAT NEW ENGLAND,13179.880000000001,2020,466,253
C2,CARRIAGE,13136.0,261,274,45
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,13128.44,9948,771,263
22271,FELTCRAFT DOLL ROSIE,13082.53,4562,794,400
22636,CHILDS BREAKFAST SET CIRCUS PARADE,13061.33,1574,513,313
21098,CHRISTMAS TOILET ROLL,13017.54,8318,602,270
21380,WOODEN HAPPY BIRTHDAY GARLAND,12991.62,4449,657,327
22207,FRYING PAN UNION FLAG,12973.82,3018,486,189
23108,SET OF 10 LED DOLLY LIGHTS,12972.92,2155,390,271
22356,CHARLOTTE BAG PINK POLKADOT,12968.77,10954,926,269
21955,DOORMAT UNION JACK GUNS AND ROSES,12960.19,2160,343,169
22900, SET 2 TEA TOWELS I LOVE LONDON ,12952.26,4024,462,203
21935,SUKI  SHOULDER BAG,12907.06,6996,925,234
22088,PAPER BUNTING COLOURED LACE,12878.830000000002,4324,624,267
22553,PLASTERS IN TIN SKULLS,12854.749999999998,7722,1101,507
22236,CAKE STAND 3 TIER MAGIC GARDEN,12844.269999999999,1032,468,253
84988,SET OF 72 PINK HEART PAPER DOILIES,12821.97,8241,1022,379
22580,ADVENT CALENDAR GINGHAM SACK,12809.28,2262,503,275
48129,DOORMAT TOPIARY,12768.38,2064,341,183
22846,BREAD BIN DINER STYLE RED ,12763.369999999999,795,363,189
21871,SAVE THE PLANET MUG,12762.7,10686,804,299
22776,SWEETHEART CAKESTAND 3 TIER,12742.98,1268,566,350
21704,BAG 250g SWIRLY MARBLES,12723.09,16473,575,287
22766,PHOTO FRAME CORNICE,12678.400000000001,4304,660,343
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",12677.21,2366,510,174
23207,LUNCH BAG ALPHABET DESIGN,12665.95,7382,753,377
21906,PHARMACIE FIRST AID TIN,12616.210000000001,1747,433,214
22464,HANGING METAL HEART LANTERN,12606.409999999998,7603,813,399
22365,DOORMAT RESPECTABLE HOUSE,12508.2,1951,324,146
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,12499.71,8809,915,404
22947,WOODEN ADVENT CALENDAR RED,12482.88,996,220,124
62018,SOMBRERO ,12450.85,9567,127,70
22616,PACK OF 12 LONDON TISSUES ,12438.08,39279,829,319
22303,COFFEE MUG APPLES DESIGN,12365.18,5300,567,267
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,12352.07,2965,303,184
22584,PACK OF 6 PANNETONE GIFT BOXES,12349.0,4806,575,408
75049L,LARGE CIRCULAR MIRROR MOBILE,12345.05,13065,397,106
21535,RED RETROSPOT SMALL MILK JUG,12317.039999999999,5003,845,381
22144,CHRISTMAS CRAFT LITTLE FRIENDS,12283.77,5087,709,394
21156,RETROSPOT CHILDRENS APRON,12185.6,6560,648,335
22631,CIRCUS PARADE LUNCH BOX ,12171.65,6239,670,270
22082,RIBBON REEL STRIPES DESIGN ,12140.9,7236,961,512
79323W, WHITE CHERRY LIGHTS,12108.86,2010,248,137
21671,RED SPOT CERAMIC DRAWER KNOB,12102.01,9318,747,267
22623,BOX OF VINTAGE JIGSAW BLOCKS ,12077.230000000001,2234,551,334
23174,REGENCY SUGAR BOWL GREEN,11997.230000000001,2967,339,192
21670,BLUE SPOT CERAMIC DRAWER KNOB,11974.4,8775,776,260
22301,COFFEE MUG CAT + BIRD DESIGN,11932.78,4936,672,274
84212,"ASSORTED FLOWER COLOUR ""LEIS""",11914.69,24722,278,140
22150,3 STRIPEY MICE FELTCRAFT,11883.619999999999,6362,817,445
21937,STRAWBERRY   PICNIC BAG,11869.72,4042,671,286
22192,BLUE DINER WALL CLOCK,11852.35,1395,559,263
21080,SET/20 RED SPOTTY PAPER NAPKINS ,11770.42,15057,950,483
84987,SET OF 36 TEATIME PAPER DOILIES,11766.449999999999,8068,818,406
22729,ALARM CLOCK BAKELIKE ORANGE,11733.11,2964,630,238
22488,NATURAL SLATE RECTANGLE CHALKBOARD,11707.21,6856,825,426
22750,FELTCRAFT PRINCESS LOLA DOLL,11660.1,3115,650,362
47567B,TEA TIME KITCHEN APRON,11607.220000000001,2153,356,180
21485,RED SPOT HEART HOT WATER BOTTLE,11601.36,2411,458,283
